survey_id,contact_id,score,submitted_at,updated_at
sur_0000001,con_0000005,5,2026-01-14T21:35:00,2026-01-14T22:35:00
sur_0000002,con_0000013,3,2026-01-07T20:04:00,2026-01-07T21:04:00
sur_0000003,con_0000014,5,2026-01-06T16:59:00,2026-01-06T17:59:00
sur_0000004,con_0000015,4,2026-01-07T08:19:00,2026-01-07T09:19:00
sur_0000005,con_0000017,5,2026-01-12T11:13:00,2026-01-12T12:13:00
sur_0000006,con_0000019,5,2026-01-06T19:21:00,2026-01-06T20:21:00
sur_0000007,con_0000022,3,2026-01-06T22:39:00,2026-01-06T23:39:00
sur_0000008,con_0000026,3,2026-01-07T16:12:00,2026-01-07T17:12:00
sur_0000009,con_0000029,4,2026-01-12T20:31:00,2026-01-12T21:31:00
sur_0000010,con_0000033,4,2026-01-06T22:08:00,2026-01-06T23:08:00
sur_0000011,con_0000034,5,2026-01-06T10:05:00,2026-01-06T11:05:00
sur_0000012,con_0000036,4,2026-01-07T21:16:00,2026-01-07T22:16:00
sur_0000013,con_0000037,3,2026-01-12T16:52:00,2026-01-12T17:52:00
sur_0000014,con_0000040,3,2026-01-12T17:21:00,2026-01-12T18:21:00
sur_0000015,con_0000044,4,2026-01-07T08:29:00,2026-01-07T09:29:00
sur_0000016,con_0000045,4,2026-01-14T14:11:00,2026-01-14T15:11:00
sur_0000017,con_0000048,5,2026-01-06T19:52:00,2026-01-06T20:52:00
sur_0000018,con_0000059,5,2026-01-08T17:42:00,2026-01-08T18:42:00
sur_0000019,con_0000062,4,2026-01-13T09:45:00,2026-01-13T10:45:00
sur_0000020,con_0000064,4,2026-01-08T10:52:00,2026-01-08T11:52:00
sur_0000021,con_0000066,4,2026-01-09T12:02:00,2026-01-09T13:02:00
sur_0000022,con_0000069,3,2026-01-07T22:46:00,2026-01-07T23:46:00
sur_0000023,con_0000072,5,2026-01-09T18:47:00,2026-01-09T19:47:00
sur_0000024,con_0000079,4,2026-01-09T22:43:00,2026-01-09T23:43:00
sur_0000025,con_0000084,4,2026-01-09T09:31:00,2026-01-09T10:31:00
sur_0000026,con_0000088,4,2026-01-15T10:12:00,2026-01-15T11:12:00
sur_0000027,con_0000090,4,2026-01-13T17:48:00,2026-01-13T18:48:00
sur_0000028,con_0000091,4,2026-01-09T14:55:00,2026-01-09T15:55:00
sur_0000029,con_0000102,4,2026-01-09T20:52:00,2026-01-09T21:52:00
sur_0000030,con_0000103,4,2026-01-10T14:53:00,2026-01-10T15:53:00
sur_0000031,con_0000106,4,2026-01-14T10:05:00,2026-01-14T11:05:00
sur_0000032,con_0000107,5,2026-01-14T18:19:00,2026-01-14T19:19:00
sur_0000033,con_0000108,3,2026-01-09T11:38:00,2026-01-09T12:38:00
sur_0000034,con_0000109,4,2026-01-16T10:02:00,2026-01-16T11:02:00
sur_0000035,con_0000110,5,2026-01-16T11:02:00,2026-01-16T12:02:00
sur_0000036,con_0000113,4,2026-01-14T20:44:00,2026-01-14T21:44:00
sur_0000037,con_0000122,3,2026-01-08T20:47:00,2026-01-08T21:47:00
sur_0000038,con_0000127,5,2026-01-09T10:40:00,2026-01-09T11:40:00
sur_0000039,con_0000134,4,2026-01-11T13:54:00,2026-01-11T14:54:00
sur_0000040,con_0000136,5,2026-01-15T08:08:00,2026-01-15T09:08:00
