agent_id_hash,activity_date,country_code,scheduled_minutes,available_minutes,handled_contacts,updated_at
agent_811786ad1ae7,2026-01-05,DE,360,332,17,2026-01-05T00:00:00
agent_b7a56873cd77,2026-01-05,DE,240,174,5,2026-01-05T00:00:00
agent_6208ef0f7750,2026-01-05,DE,360,309,13,2026-01-05T00:00:00
agent_7902699be42c,2026-01-05,DE,420,369,14,2026-01-05T00:00:00
agent_3d914f9348c9,2026-01-05,DE,480,459,24,2026-01-05T00:00:00
agent_39fa9ec190ee,2026-01-05,DE,240,199,6,2026-01-05T00:00:00
agent_535fa30d7e25,2026-01-05,DE,240,195,9,2026-01-05T00:00:00
agent_e29c9c180c62,2026-01-05,DE,480,400,14,2026-01-05T00:00:00
agent_e7f6c011776e,2026-01-05,DE,360,293,11,2026-01-05T00:00:00
agent_7688b6ef5255,2026-01-05,DE,240,218,7,2026-01-05T00:00:00
agent_35135aaa6cc2,2026-01-05,DE,480,419,22,2026-01-05T00:00:00
agent_98010bd9270f,2026-01-05,DE,240,205,7,2026-01-05T00:00:00
agent_19581e27de7c,2026-01-05,NL,240,168,5,2026-01-05T00:00:00
agent_6b86b273ff34,2026-01-05,NL,240,189,7,2026-01-05T00:00:00
agent_6b51d431df5d,2026-01-05,NL,360,336,11,2026-01-05T00:00:00
agent_3d914f9348c9,2026-01-05,NL,480,439,14,2026-01-05T00:00:00
agent_4b227777d4dd,2026-01-05,NL,480,440,22,2026-01-05T00:00:00
agent_f5ca38f748a1,2026-01-05,NL,360,320,10,2026-01-05T00:00:00
agent_2858dcd1057d,2026-01-05,NL,360,292,15,2026-01-05T00:00:00
agent_031b4af5197e,2026-01-05,NL,360,319,16,2026-01-05T00:00:00
agent_7902699be42c,2026-01-05,NL,420,391,13,2026-01-05T00:00:00
agent_624b60c58c9d,2026-01-05,NL,360,296,12,2026-01-05T00:00:00
agent_d59eced1ded0,2026-01-05,NL,360,312,14,2026-01-05T00:00:00
agent_4fc82b26aecb,2026-01-05,NL,240,212,10,2026-01-05T00:00:00
agent_02d20bbd7e39,2026-01-05,UK,240,175,6,2026-01-05T00:00:00
agent_3d914f9348c9,2026-01-05,UK,420,374,13,2026-01-05T00:00:00
agent_d59eced1ded0,2026-01-05,UK,480,416,21,2026-01-05T00:00:00
agent_b7a56873cd77,2026-01-05,UK,360,300,13,2026-01-05T00:00:00
