compensation_id,contact_id,order_id,refund_amount,voucher_amount,goodwill_amount,created_at,updated_at
cmp_0000001,con_0000001,ord_0000004,0.0,6.91,0.0,2026-01-05T18:14:00,2026-01-05T20:14:00
cmp_0000002,con_0000005,ord_0000021,0.0,6.77,0.0,2026-01-07T21:35:00,2026-01-07T23:35:00
cmp_0000003,con_0000007,ord_0000030,9.57,0.0,0.0,2026-01-06T12:13:00,2026-01-06T14:13:00
cmp_0000004,con_0000018,ord_0000210,0.0,10.2,4.6,2026-01-06T15:00:00,2026-01-06T17:00:00
cmp_0000005,con_0000019,ord_0000211,16.1,4.51,0.0,2026-01-06T19:21:00,2026-01-06T21:21:00
cmp_0000006,con_0000026,ord_0000272,16.03,0.0,2.72,2026-01-13T16:12:00,2026-01-13T18:12:00
cmp_0000007,con_0000028,ord_0000277,13.58,12.95,0.0,2026-01-10T18:05:00,2026-01-10T20:05:00
cmp_0000008,con_0000031,ord_0000309,0.0,5.31,0.0,2026-01-07T21:35:00,2026-01-07T23:35:00
cmp_0000009,con_0000041,ord_0000384,0.0,5.19,0.0,2026-01-13T21:56:00,2026-01-13T23:56:00
cmp_0000010,con_0000043,ord_0000400,12.06,12.02,3.29,2026-01-05T22:31:00,2026-01-06T00:31:00
cmp_0000011,con_0000045,ord_0000416,0.0,13.15,0.0,2026-01-13T14:11:00,2026-01-13T16:11:00
cmp_0000012,con_0000054,ord_0000513,0.0,12.48,0.0,2026-01-08T17:07:00,2026-01-08T19:07:00
cmp_0000013,con_0000062,ord_0000614,15.13,12.26,2.13,2026-01-06T09:45:00,2026-01-06T11:45:00
cmp_0000014,con_0000065,ord_0000662,4.0,6.28,0.0,2026-01-07T15:51:00,2026-01-07T17:51:00
cmp_0000015,con_0000067,ord_0000667,15.14,0.0,0.0,2026-01-14T14:14:00,2026-01-14T16:14:00
cmp_0000016,con_0000079,ord_0000776,0.0,3.45,6.15,2026-01-06T22:43:00,2026-01-07T00:43:00
cmp_0000017,con_0000081,ord_0000799,0.0,10.67,5.3,2026-01-08T21:10:00,2026-01-08T23:10:00
cmp_0000018,con_0000083,ord_0000838,12.16,3.98,0.0,2026-01-07T10:37:00,2026-01-07T12:37:00
cmp_0000019,con_0000092,ord_0000910,0.0,7.7,5.91,2026-01-08T15:49:00,2026-01-08T17:49:00
cmp_0000020,con_0000095,ord_0000941,15.16,0.0,0.0,2026-01-08T12:45:00,2026-01-08T14:45:00
cmp_0000021,con_0000096,ord_0000965,0.0,5.14,0.0,2026-01-08T17:03:00,2026-01-08T19:03:00
cmp_0000022,con_0000097,ord_0000968,4.76,0.0,0.0,2026-01-12T16:00:00,2026-01-12T18:00:00
cmp_0000023,con_0000108,ord_0001086,0.0,13.25,2.06,2026-01-08T11:38:00,2026-01-08T13:38:00
cmp_0000024,con_0000111,ord_0001129,0.0,4.06,0.0,2026-01-07T18:59:00,2026-01-07T20:59:00
cmp_0000025,con_0000113,ord_0001147,0.0,11.85,0.0,2026-01-12T20:44:00,2026-01-12T22:44:00
cmp_0000026,con_0000117,ord_0001247,10.69,11.98,0.0,2026-01-08T13:54:00,2026-01-08T15:54:00
cmp_0000027,con_0000128,ord_0001359,0.0,7.22,7.56,2026-01-16T20:34:00,2026-01-16T22:34:00
cmp_0000028,con_0000131,ord_0001386,0.0,10.34,5.81,2026-01-09T21:17:00,2026-01-09T23:17:00
cmp_0000029,con_0000141,ord_0001452,8.21,9.27,0.0,2026-01-13T20:37:00,2026-01-13T22:37:00
cmp_0000030,con_0000144,ord_0001476,0.0,7.82,0.0,2026-01-10T22:55:00,2026-01-11T00:55:00
cmp_0000031,con_0000145,ord_0001482,0.0,5.74,3.29,2026-01-08T21:05:00,2026-01-08T23:05:00
cmp_0000032,con_0000149,ord_0001544,5.92,0.0,8.45,2026-01-16T20:46:00,2026-01-16T22:46:00
cmp_0000033,con_0000151,ord_0001552,0.0,3.99,8.33,2026-01-16T10:35:00,2026-01-16T12:35:00
cmp_0000034,con_0000156,ord_0001603,0.0,13.56,0.0,2026-01-16T19:31:00,2026-01-16T21:31:00
cmp_0000035,con_0000159,ord_0001627,0.0,10.84,0.0,2026-01-10T21:27:00,2026-01-10T23:27:00
cmp_0000036,con_0000164,ord_0001659,14.06,0.0,0.0,2026-01-13T22:48:00,2026-01-14T00:48:00
cmp_0000037,con_0000198,ord_0002023,16.25,0.0,6.64,2026-01-17T16:16:00,2026-01-17T18:16:00
cmp_0000038,con_0000205,ord_0002077,0.0,9.98,0.0,2026-01-11T12:58:00,2026-01-11T14:58:00
cmp_0000039,con_0000210,ord_0002136,10.25,0.0,0.0,2026-01-09T18:35:00,2026-01-09T20:35:00
cmp_0000040,con_0000213,ord_0002150,0.0,3.84,3.58,2026-01-09T10:51:00,2026-01-09T12:51:00
cmp_0000041,con_0000215,ord_0002157,4.69,0.0,0.0,2026-01-14T11:15:00,2026-01-14T13:15:00
cmp_0000042,con_0000219,ord_0002198,0.0,11.68,2.19,2026-01-11T08:24:00,2026-01-11T10:24:00
cmp_0000043,con_0000220,ord_0002199,0.0,6.63,4.32,2026-01-10T21:01:00,2026-01-10T23:01:00
cmp_0000044,con_0000222,ord_0002225,0.0,12.56,0.0,2026-01-17T14:20:00,2026-01-17T16:20:00
cmp_0000045,con_0000224,ord_0002240,0.0,12.23,0.0,2026-01-14T11:55:00,2026-01-14T13:55:00
cmp_0000046,con_0000246,ord_0002466,15.57,0.0,6.54,2026-01-11T11:19:00,2026-01-11T13:19:00
cmp_0000047,con_0000257,ord_0002566,0.0,13.31,0.0,2026-01-15T16:42:00,2026-01-15T18:42:00
cmp_0000048,con_0000261,ord_0002606,0.0,13.5,0.0,2026-01-10T22:35:00,2026-01-11T00:35:00
cmp_0000049,con_0000262,ord_0002607,8.6,6.2,5.12,2026-01-18T13:36:00,2026-01-18T15:36:00
cmp_0000050,con_0000265,ord_0002645,0.0,12.73,0.0,2026-01-11T08:41:00,2026-01-11T10:41:00
cmp_0000051,con_0000266,ord_0002647,0.0,7.8,5.09,2026-01-10T15:06:00,2026-01-10T17:06:00
cmp_0000052,con_0000268,ord_0002654,9.39,0.0,6.39,2026-01-15T08:29:00,2026-01-15T10:29:00
