contact_id,order_id,customer_id_hash,agent_id_hash,country_code,contact_reason_id,created_at,resolved_at,status,reopened_flag,handling_time_seconds,updated_at
con_0000001,ord_0000004,cust_1e61da9318ad,agent_3d914f9348c9,DE,late_delivery,2026-01-05T18:14:00,2026-01-10T18:22:40,resolved,0,520,2026-01-10T01:14:00
con_0000002,ord_0000008,cust_2163909115c0,agent_9400f1b21cb5,DE,late_delivery,2026-01-05T19:07:00,2026-01-07T19:09:05,resolved,0,125,2026-01-10T20:07:00
con_0000003,ord_0000009,cust_155d1cf609ce,agent_b17ef6d19c7a,DE,account_issue,2026-01-05T13:31:00,2026-01-10T13:44:14,resolved,0,794,2026-01-08T13:31:00
con_0000004,ord_0000016,cust_d029fa3a95e1,agent_44cb730c4204,DE,payment_issue,2026-01-05T14:16:00,2026-01-10T14:26:53,resolved,0,653,2026-01-11T22:16:00
con_0000005,ord_0000021,cust_cf1881df6f16,agent_4a44dc153642,DE,late_delivery,2026-01-05T21:35:00,2026-01-05T21:41:55,resolved,0,415,2026-01-07T05:35:00
con_0000006,ord_0000022,cust_6cc6eefb6742,agent_4a44dc153642,DE,refund_request,2026-01-05T09:56:00,,open,0,0,2026-01-14T17:56:00
con_0000007,ord_0000030,cust_8012472a35fd,agent_35135aaa6cc2,DE,missing_item,2026-01-05T12:13:00,2026-01-07T12:18:56,resolved,0,356,2026-01-10T19:13:00
con_0000008,ord_0000039,cust_24fae883d5ce,agent_0e17daca5f3e,DE,late_delivery,2026-01-05T15:11:00,2026-01-06T15:20:41,resolved,0,581,2026-01-11T19:11:00
con_0000009,ord_0000064,cust_d8d851022fbb,agent_35135aaa6cc2,DE,payment_issue,2026-01-05T19:19:00,2026-01-07T19:29:56,resolved,0,656,2026-01-12T21:19:00
con_0000010,ord_0000085,cust_b01672c37b29,agent_f5ca38f748a1,DE,late_delivery,2026-01-05T15:49:00,2026-01-05T15:55:05,resolved,0,365,2026-01-05T23:49:00
con_0000011,ord_0000109,cust_3a6e2b22591e,agent_670671cd9740,DE,late_delivery,2026-01-05T21:44:00,2026-01-10T21:53:52,resolved,0,592,2026-01-12T21:44:00
con_0000012,ord_0000116,cust_f626051bc944,agent_9f14025af006,DE,cancellation,2026-01-05T13:15:00,2026-01-07T13:19:50,resolved,0,290,2026-01-06T21:15:00
con_0000013,ord_0000117,cust_b458944d9ec4,agent_19581e27de7c,DE,late_delivery,2026-01-05T20:04:00,2026-01-08T20:11:16,resolved,0,436,2026-01-07T01:04:00
con_0000014,ord_0000149,cust_aaf5060b9517,agent_73475cb40a56,NL,account_issue,2026-01-05T16:59:00,2026-01-08T17:06:37,resolved,0,457,2026-01-12T23:59:00
con_0000015,ord_0000162,cust_86b700fab5db,agent_2858dcd1057d,NL,missing_item,2026-01-05T08:19:00,2026-01-08T08:25:36,resolved,0,396,2026-01-13T14:19:00
con_0000016,ord_0000175,cust_051c2e380d07,agent_7902699be42c,NL,late_delivery,2026-01-05T19:17:00,2026-01-06T19:25:07,resolved,1,487,2026-01-11T21:17:00
con_0000017,ord_0000196,cust_fe3590759169,agent_c2356069e9d1,NL,payment_issue,2026-01-05T11:13:00,2026-01-07T11:22:46,resolved,0,586,2026-01-13T13:13:00
con_0000018,ord_0000210,cust_5a39cadd1b00,agent_7688b6ef5255,UK,late_delivery,2026-01-05T15:00:00,2026-01-05T15:09:56,resolved,0,596,2026-01-09T17:00:00
con_0000019,ord_0000211,cust_01299ac65733,agent_ef2d127de37b,UK,refund_request,2026-01-05T19:21:00,2026-01-10T19:29:53,resolved,0,533,2026-01-08T02:21:00
con_0000020,ord_0000226,cust_7054d0451000,agent_6b86b273ff34,UK,refund_request,2026-01-05T14:01:00,2026-01-06T14:11:55,resolved,0,655,2026-01-05T19:01:00
con_0000021,ord_0000238,cust_a3ab7bbaf739,agent_535fa30d7e25,UK,late_delivery,2026-01-05T18:15:00,2026-01-05T18:22:27,resolved,0,447,2026-01-09T00:15:00
con_0000022,ord_0000240,cust_0fecf9247f3d,agent_4b227777d4dd,UK,late_delivery,2026-01-05T22:39:00,2026-01-05T22:50:29,resolved,0,689,2026-01-08T03:39:00
con_0000023,ord_0000244,cust_b3dfdc6efe32,agent_535fa30d7e25,UK,payment_issue,2026-01-05T14:28:00,2026-01-05T14:36:01,resolved,0,481,2026-01-12T20:28:00
con_0000024,ord_0000263,cust_19e68d9fe08f,agent_25fc0e7096fc,UK,missing_item,2026-01-05T22:08:00,,open,0,0,2026-01-15T02:08:00
con_0000025,ord_0000264,cust_f8b729102586,agent_f5ca38f748a1,UK,missing_item,2026-01-05T18:53:00,2026-01-07T18:57:49,resolved,0,289,2026-01-14T22:53:00
con_0000026,ord_0000272,cust_73daa9289ddd,agent_71ee45a3c0db,UK,missing_item,2026-01-05T16:12:00,2026-01-10T16:18:24,resolved,0,384,2026-01-08T16:12:00
con_0000027,ord_0000274,cust_ef0d2e96b08c,agent_0b918943df09,UK,late_delivery,2026-01-05T13:45:00,2026-01-06T13:52:30,resolved,0,450,2026-01-14T13:45:00
con_0000028,ord_0000277,cust_b93e56aec772,agent_e7f6c011776e,UK,refund_request,2026-01-05T18:05:00,2026-01-10T18:13:33,resolved,0,513,2026-01-12T20:05:00
con_0000029,ord_0000284,cust_84a5092e4a5b,agent_2858dcd1057d,UK,late_delivery,2026-01-05T20:31:00,2026-01-07T20:38:03,resolved,0,423,2026-01-12T02:31:00
con_0000030,ord_0000307,cust_8dfd13f43760,agent_39fa9ec190ee,UK,refund_request,2026-01-05T19:39:00,,open,0,0,2026-01-07T00:39:00
